user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_target,login_recency_category,support_risk,payment_risk,usage_level,churn_probability,predicted_churn,predicted_risk_category
35,2024-07-09,Premium,699,4.3,4,1,32,3,No,0,Active,Medium,Medium,Low,0.5843158557027883,1,Medium Risk
36,2023-06-11,Basic,199,1.9,7,4,21,58,Yes,1,Inactive,High,High,Low,0.9339975814199847,1,High Risk
37,2023-08-29,Basic,199,2.5,2,0,33,38,Yes,1,Inactive,Low,Low,Low,0.6221955668876471,1,High Risk
38,2023-03-25,Standard,399,23.6,3,4,8,38,Yes,1,Inactive,Medium,High,High,0.664606188191155,1,High Risk
39,2023-09-02,Standard,399,8.3,4,1,34,42,No,0,Inactive,Medium,Medium,Medium,0.47514276640112624,0,Medium Risk
40,2023-03-16,Standard,399,3.7,4,3,26,20,No,0,At Risk,Medium,High,Low,0.8074068313125784,1,High Risk
41,2023-09-29,Basic,199,15.7,1,0,30,34,Yes,1,Inactive,Low,Low,High,0.25643951731998715,0,Low Risk
42,2024-07-10,Basic,199,22.1,3,2,23,18,Yes,1,At Risk,Medium,Medium,High,0.42615061633967166,0,Medium Risk
43,2023-11-03,Premium,699,15.5,8,0,20,42,No,0,Inactive,High,Low,High,0.5252272659806883,1,Medium Risk
44,2024-07-20,Premium,699,23.5,2,2,7,7,No,0,Active,Low,Medium,High,0.34998729497161235,0,Medium Risk
45,2024-10-11,Basic,199,7.4,3,5,18,21,Yes,1,At Risk,Medium,High,Medium,0.6069245789118004,1,High Risk
46,2023-10-11,Standard,399,12.5,0,0,33,40,No,0,Inactive,Low,Low,Medium,0.25075264841166733,0,Low Risk
47,2024-03-28,Basic,199,8.7,2,5,1,16,Yes,1,At Risk,Low,High,Medium,0.6336926381965744,1,High Risk
48,2023-06-02,Premium,699,14.2,1,0,28,60,No,0,Inactive,Low,Low,Medium,0.3565578227466651,0,Medium Risk
49,2023-11-12,Premium,699,20.9,8,1,3,27,Yes,1,At Risk,High,Medium,High,0.5990411066739456,1,Medium Risk
50,2023-12-29,Standard,399,22.5,3,5,3,15,No,0,At Risk,Medium,High,High,0.6137930698491345,1,High Risk
51,2023-07-01,Premium,699,24.4,2,1,27,55,Yes,1,Inactive,Low,Medium,High,0.5379401583442359,1,Medium Risk
52,2023-09-12,Standard,399,4.9,5,3,2,51,Yes,1,Inactive,Medium,High,Low,0.9021736994404238,1,High Risk
53,2024-04-26,Standard,399,19.8,1,3,11,55,Yes,1,Inactive,Low,High,High,0.6379007421490243,1,High Risk
54,2023-08-22,Basic,199,20.5,7,2,13,19,No,0,At Risk,High,Medium,High,0.5642331141608566,1,Medium Risk
55,2023-10-13,Basic,199,16.7,6,2,2,17,No,0,At Risk,High,Medium,High,0.4783352820915218,0,Medium Risk
56,2023-09-25,Standard,399,10.3,8,2,33,60,Yes,1,Inactive,High,Medium,Medium,0.7467051266314007,1,High Risk
57,2024-03-22,Basic,199,1.4,6,2,17,46,Yes,1,Inactive,High,Medium,Low,0.8528243886055671,1,High Risk
58,2023-01-02,Premium,699,3.3,3,2,33,2,No,0,Active,Medium,Medium,Low,0.5443067245118776,1,Medium Risk
59,2024-11-11,Premium,699,17.3,3,2,35,27,Yes,1,At Risk,Medium,Medium,High,0.4297768896844527,0,Medium Risk
60,2023-11-13,Standard,399,16.8,1,5,21,57,Yes,1,Inactive,Low,High,High,0.7005961484786779,1,High Risk
61,2024-11-11,Premium,699,8.5,4,4,27,8,Yes,1,Active,Medium,High,Medium,0.48689454787541275,0,Medium Risk
62,2023-11-08,Standard,399,15.6,4,3,12,35,No,0,Inactive,Medium,High,High,0.6129620299895494,1,High Risk
63,2023-08-07,Standard,399,11.0,5,3,14,28,Yes,1,At Risk,Medium,High,Medium,0.6269257752708316,1,High Risk
64,2024-11-10,Premium,699,19.9,2,5,31,5,Yes,1,Active,Low,High,High,0.5323391482733181,1,Medium Risk
65,2023-07-23,Premium,699,2.8,3,5,22,19,Yes,1,At Risk,Medium,High,Low,0.8365214532912669,1,High Risk
66,2024-04-11,Basic,199,1.6,7,4,2,54,Yes,1,Inactive,High,High,Low,0.938668974545833,1,High Risk
67,2024-11-02,Standard,399,18.1,6,3,13,25,Yes,1,At Risk,High,High,High,0.6438164462317987,1,High Risk
68,2024-12-13,Premium,699,22.4,1,3,1,14,Yes,1,Active,Low,High,High,0.4026126664972744,0,Medium Risk
69,2024-04-20,Premium,699,1.7,3,0,30,29,Yes,1,At Risk,Medium,Low,Low,0.5590208746893438,1,Medium Risk
70,2024-05-31,Premium,699,24.7,5,3,34,39,No,0,Inactive,Medium,High,High,0.7462148789240163,1,High Risk
71,2023-09-23,Standard,399,11.4,2,5,36,55,Yes,1,Inactive,Low,High,Medium,0.7525440106112468,1,High Risk
72,2024-03-26,Basic,199,19.3,8,3,18,40,Yes,1,Inactive,High,High,High,0.801488774533646,1,High Risk
73,2023-05-22,Basic,199,6.2,5,2,19,57,Yes,1,Inactive,Medium,Medium,Medium,0.6118910805051297,1,High Risk
74,2024-02-22,Basic,199,9.9,2,5,15,13,Yes,1,Active,Low,High,Medium,0.5327665536529694,1,Medium Risk
75,2024-08-21,Standard,399,11.9,0,1,35,53,No,0,Inactive,Low,Medium,Medium,0.4150876967304476,0,Medium Risk
76,2023-11-02,Premium,699,21.5,6,3,2,0,No,0,Active,High,High,High,0.4693780968233405,0,Medium Risk
77,2023-08-13,Standard,399,13.7,8,4,27,57,Yes,1,Inactive,High,High,Medium,0.8544242095485224,1,High Risk
78,2024-02-19,Standard,399,12.4,6,2,28,42,Yes,1,Inactive,High,Medium,Medium,0.6427342470208056,1,High Risk
79,2024-02-08,Premium,699,21.1,2,4,11,34,Yes,1,Inactive,Low,High,High,0.6976173099682951,1,High Risk
80,2023-02-21,Premium,699,2.6,6,1,2,55,Yes,1,Inactive,High,Medium,Low,0.8284780174559117,1,High Risk
81,2024-01-24,Standard,399,8.5,7,2,25,21,No,0,At Risk,High,Medium,Medium,0.5804738932022875,1,Medium Risk
82,2023-02-23,Standard,399,6.7,1,3,27,1,No,0,Active,Low,High,Medium,0.2951199681356232,0,Low Risk
83,2023-01-21,Standard,399,16.4,0,0,15,60,Yes,1,Inactive,Low,Low,High,0.2773250022017819,0,Low Risk
84,2023-08-12,Premium,699,6.3,7,5,10,7,No,0,Active,High,High,Medium,0.6141813303255689,1,High Risk
85,2023-04-28,Standard,399,19.3,2,4,17,38,No,0,Inactive,Low,High,High,0.6697137455633316,1,High Risk
86,2024-01-20,Basic,199,3.1,0,2,20,36,Yes,1,Inactive,Low,Medium,Low,0.7067951180303872,1,High Risk
87,2024-12-01,Standard,399,2.4,3,0,13,44,No,0,Inactive,Medium,Low,Low,0.6442456568786991,1,High Risk
88,2024-01-15,Premium,699,20.0,0,2,8,34,Yes,1,Inactive,Low,Medium,High,0.42636309078686935,0,Medium Risk
89,2024-03-19,Basic,199,16.4,0,3,33,52,Yes,1,Inactive,Low,High,High,0.5437339239145373,1,Medium Risk
90,2024-10-28,Standard,399,17.8,6,1,30,46,No,0,Inactive,High,Medium,High,0.5854729725473035,1,Medium Risk
91,2023-10-02,Standard,399,19.5,7,3,35,52,Yes,1,Inactive,High,High,High,0.7686147540250724,1,High Risk
92,2024-04-20,Standard,399,20.9,1,2,16,56,Yes,1,Inactive,Low,Medium,High,0.5487229964701505,1,Medium Risk
93,2023-12-30,Premium,699,8.7,7,2,25,11,Yes,1,Active,High,Medium,Medium,0.4241069311215934,0,Medium Risk
94,2023-07-15,Standard,399,7.4,4,4,22,0,No,0,Active,Medium,High,Medium,0.4272859229108045,0,Medium Risk
95,2024-05-02,Basic,199,18.1,7,4,16,48,Yes,1,Inactive,High,High,High,0.8101700408325164,1,High Risk
96,2024-12-09,Premium,699,11.5,0,0,32,18,No,0,At Risk,Low,Low,Medium,0.19679923889537404,0,Low Risk
97,2024-03-11,Basic,199,16.8,5,3,20,35,Yes,1,Inactive,Medium,High,High,0.6924871569256279,1,High Risk
98,2023-05-04,Premium,699,8.6,7,2,36,19,Yes,1,At Risk,High,Medium,Medium,0.5456467717424068,1,Medium Risk
99,2024-05-10,Premium,699,8.2,8,5,13,11,Yes,1,Active,High,High,Medium,0.7133340422505124,1,High Risk
100,2023-07-03,Standard,399,15.1,1,1,34,18,No,0,At Risk,Low,Medium,High,0.2896053335116923,0,Low Risk
101,2024-07-20,Standard,399,17.8,2,2,1,2,No,0,Active,Low,Medium,High,0.3068009596069358,0,Medium Risk
102,2023-10-19,Standard,399,16.1,7,0,9,55,Yes,1,Inactive,High,Low,High,0.5059126047649852,1,Medium Risk
103,2024-05-04,Standard,399,11.3,2,0,31,16,No,0,At Risk,Low,Low,Medium,0.2753506333700522,0,Low Risk
104,2023-06-05,Basic,199,10.3,1,4,5,40,No,0,Inactive,Low,High,Medium,0.6069949025111138,1,High Risk
105,2024-09-12,Basic,199,2.6,3,0,20,35,No,0,Inactive,Medium,Low,Low,0.614171750748093,1,High Risk
106,2024-08-25,Premium,699,19.5,6,3,15,58,Yes,1,Inactive,High,High,High,0.7625813404825289,1,High Risk
107,2023-08-01,Standard,399,14.4,0,4,20,47,Yes,1,Inactive,Low,High,Medium,0.5992003449325266,1,Medium Risk
108,2023-03-18,Premium,699,7.0,1,1,14,15,No,0,At Risk,Low,Medium,Medium,0.2832630333617371,0,Low Risk
109,2024-12-24,Basic,199,10.5,7,2,1,2,Yes,1,Active,High,Medium,Medium,0.43380526666356856,0,Medium Risk
110,2024-08-26,Standard,399,2.2,3,2,30,50,Yes,1,Inactive,Medium,Medium,Low,0.7989722410834459,1,High Risk
111,2023-09-30,Premium,699,10.9,8,1,13,41,Yes,1,Inactive,High,Medium,Medium,0.6610068425551348,1,High Risk
112,2023-10-23,Basic,199,2.0,4,4,5,47,Yes,1,Inactive,Medium,High,Low,0.8879207187514786,1,High Risk
113,2024-05-27,Standard,399,12.0,4,5,8,25,No,0,At Risk,Medium,High,Medium,0.7028184252455533,1,High Risk
114,2023-09-14,Premium,699,11.2,0,3,32,47,Yes,1,Inactive,Low,High,Medium,0.5235396213392449,1,Medium Risk
115,2023-02-11,Basic,199,6.1,0,5,6,52,Yes,1,Inactive,Low,High,Medium,0.6131297270063152,1,High Risk
116,2024-03-22,Basic,199,13.2,7,2,31,11,No,0,Active,High,Medium,Medium,0.4717635087244269,0,Medium Risk
117,2024-11-17,Premium,699,24.2,7,2,32,26,Yes,1,At Risk,High,Medium,High,0.6403643951414257,1,High Risk
118,2024-07-17,Basic,199,8.6,7,2,11,42,No,0,Inactive,High,Medium,Medium,0.6693558657651827,1,High Risk
119,2024-02-18,Basic,199,2.7,4,2,30,7,No,0,Active,Medium,Medium,Low,0.6319925415225884,1,High Risk
120,2024-06-14,Premium,699,16.6,8,3,1,26,Yes,1,At Risk,High,High,High,0.7400769823662033,1,High Risk
121,2023-10-22,Standard,399,15.8,0,1,32,17,No,0,At Risk,Low,Medium,High,0.2449560257592557,0,Low Risk
122,2023-01-15,Standard,399,3.5,3,5,32,10,Yes,1,Active,Medium,High,Low,0.7565736315305684,1,High Risk
123,2023-06-07,Premium,699,2.8,1,3,27,60,Yes,1,Inactive,Low,High,Low,0.8443274748487255,1,High Risk
124,2024-04-28,Standard,399,13.0,4,3,19,53,Yes,1,Inactive,Medium,High,Medium,0.7112426113031075,1,High Risk
125,2023-05-20,Basic,199,14.0,6,1,30,58,No,0,Inactive,High,Medium,Medium,0.6029345734499265,1,High Risk
126,2023-10-01,Basic,199,19.4,6,2,18,59,No,0,Inactive,High,Medium,High,0.6476981607767042,1,High Risk
127,2023-12-20,Basic,199,18.3,7,1,19,28,No,0,At Risk,High,Medium,High,0.5179236929578134,1,Medium Risk
128,2023-07-13,Standard,399,19.2,6,3,36,59,Yes,1,Inactive,High,High,High,0.7379118956508243,1,High Risk
129,2024-04-29,Premium,699,14.5,3,3,16,2,Yes,1,Active,Medium,High,Medium,0.393049714570521,0,Medium Risk
130,2024-08-27,Premium,699,10.0,2,3,25,2,Yes,1,Active,Low,High,Medium,0.39738811865553025,0,Medium Risk
131,2023-01-16,Standard,399,21.9,7,0,7,33,No,0,Inactive,High,Low,High,0.48046935761553056,0,Medium Risk
132,2023-09-29,Premium,699,10.5,2,0,10,30,No,0,At Risk,Low,Low,Medium,0.28056264809398557,0,Low Risk
133,2023-11-21,Standard,399,16.4,5,5,26,54,Yes,1,Inactive,Medium,High,High,0.798958496978526,1,High Risk
134,2024-12-01,Premium,699,21.9,0,4,32,4,Yes,1,Active,Low,High,High,0.3695730674533263,0,Medium Risk
135,2023-04-13,Standard,399,18.8,6,0,15,48,No,0,Inactive,High,Low,High,0.44381122630618924,0,Medium Risk
136,2023-10-28,Standard,399,17.5,0,0,11,20,No,0,At Risk,Low,Low,High,0.175978718511496,0,Low Risk
137,2023-07-04,Standard,399,11.1,3,4,24,26,Yes,1,At Risk,Medium,High,Medium,0.5635816844197883,1,Medium Risk
138,2024-08-20,Basic,199,2.4,6,4,12,43,Yes,1,Inactive,High,High,Low,0.9158263677548287,1,High Risk
139,2024-04-21,Basic,199,11.8,4,3,15,16,No,0,At Risk,Medium,High,Medium,0.564930420895856,1,Medium Risk
140,2024-03-10,Standard,399,4.4,7,2,35,37,Yes,1,Inactive,High,Medium,Low,0.8797209458215821,1,High Risk
141,2023-04-20,Premium,699,11.7,4,1,17,24,No,0,At Risk,Medium,Medium,Medium,0.40694404226291336,0,Medium Risk
142,2024-11-05,Basic,199,14.5,4,5,25,18,Yes,1,At Risk,Medium,High,Medium,0.6912108574418553,1,High Risk
143,2023-10-21,Standard,399,0.7,0,4,18,47,Yes,1,Inactive,Low,High,Low,0.8160992216563006,1,High Risk
144,2024-11-06,Basic,199,5.9,3,4,23,16,No,0,At Risk,Medium,High,Medium,0.5275555361661199,1,Medium Risk
145,2024-08-16,Premium,699,15.9,0,2,9,50,Yes,1,Inactive,Low,Medium,High,0.44531584581075645,0,Medium Risk
146,2023-07-25,Standard,399,2.7,4,2,9,47,Yes,1,Inactive,Medium,Medium,Low,0.8145217547439333,1,High Risk
147,2023-06-18,Basic,199,22.0,5,4,35,32,No,0,Inactive,Medium,High,High,0.732398921935735,1,High Risk
148,2023-04-28,Standard,399,24.2,4,5,31,55,Yes,1,Inactive,Medium,High,High,0.7929787541473674,1,High Risk
149,2024-02-11,Standard,399,3.9,3,5,5,46,Yes,1,Inactive,Medium,High,Low,0.9050023326882549,1,High Risk
150,2024-04-10,Premium,699,2.7,6,0,24,16,No,0,At Risk,High,Low,Low,0.6427211686836917,1,High Risk
151,2023-01-26,Standard,399,14.8,5,0,17,43,Yes,1,Inactive,Medium,Low,Medium,0.45268814931656676,0,Medium Risk
152,2024-04-20,Premium,699,8.5,3,5,36,4,No,0,Active,Medium,High,Medium,0.47381747296867166,0,Medium Risk
153,2023-11-08,Premium,699,16.4,1,1,20,2,No,0,Active,Low,Medium,High,0.19159537120586614,0,Low Risk
154,2024-11-17,Standard,399,2.9,8,1,8,24,Yes,1,At Risk,High,Medium,Low,0.8392758161552683,1,High Risk
155,2024-05-16,Premium,699,10.8,2,3,35,41,Yes,1,Inactive,Low,High,Medium,0.6478678816728042,1,High Risk
156,2024-03-30,Premium,699,23.5,4,0,27,44,Yes,1,Inactive,Medium,Low,High,0.4340419826944809,0,Medium Risk
157,2024-10-22,Standard,399,21.5,1,5,16,23,Yes,1,At Risk,Low,High,High,0.6319506310350532,1,High Risk
158,2024-04-10,Standard,399,10.3,3,0,4,60,No,0,Inactive,Medium,Low,Medium,0.38850134373608797,0,Medium Risk
159,2023-05-09,Basic,199,16.2,0,0,14,50,Yes,1,Inactive,Low,Low,High,0.24892395888919494,0,Low Risk
160,2023-08-27,Premium,699,2.2,8,1,14,37,Yes,1,Inactive,High,Medium,Low,0.8619583184173734,1,High Risk
161,2023-05-14,Standard,399,19.8,0,2,10,54,No,0,Inactive,Low,Medium,High,0.4480609791215323,0,Medium Risk
162,2023-01-16,Premium,699,20.1,1,5,17,55,Yes,1,Inactive,Low,High,High,0.7139121735497331,1,High Risk
163,2024-03-07,Standard,399,14.9,0,1,16,16,Yes,1,At Risk,Low,Medium,Medium,0.30070913929161325,0,Medium Risk
164,2024-08-30,Premium,699,18.8,7,3,8,49,Yes,1,Inactive,High,High,High,0.7838463190575645,1,High Risk
165,2024-11-05,Basic,199,12.8,0,5,29,50,No,0,Inactive,Low,High,Medium,0.6713625850633476,1,High Risk
166,2024-03-12,Premium,699,11.7,0,0,20,30,No,0,At Risk,Low,Low,Medium,0.22025277725616346,0,Low Risk
167,2024-09-14,Premium,699,12.5,7,0,7,57,Yes,1,Inactive,High,Low,Medium,0.5677031631632904,1,Medium Risk
168,2024-09-03,Basic,199,3.6,8,5,5,20,Yes,1,At Risk,High,High,Low,0.9366180281053208,1,High Risk
169,2024-11-01,Premium,699,11.6,6,0,19,50,No,0,Inactive,High,Low,Medium,0.48337426452606186,0,Medium Risk
170,2024-02-28,Premium,699,18.2,3,3,36,28,No,0,At Risk,Medium,High,High,0.5389871733064603,1,Medium Risk
171,2023-09-19,Standard,399,10.3,1,2,30,27,Yes,1,At Risk,Low,Medium,Medium,0.37842134203594213,0,Medium Risk
172,2023-04-06,Standard,399,17.3,7,0,10,5,No,0,Active,High,Low,High,0.25354166146663504,0,Low Risk
173,2024-07-29,Standard,399,18.7,5,1,7,35,Yes,1,Inactive,Medium,Medium,High,0.5640230571467024,1,Medium Risk
174,2024-03-09,Premium,699,16.9,6,2,22,55,Yes,1,Inactive,High,Medium,High,0.6595718734891025,1,High Risk
175,2023-08-06,Premium,699,24.2,4,2,4,6,No,0,Active,Medium,Medium,High,0.34746821712975945,0,Medium Risk
176,2023-04-28,Basic,199,6.0,1,2,31,54,Yes,1,Inactive,Low,Medium,Medium,0.45960606705689816,0,Medium Risk
177,2024-07-24,Standard,399,20.3,8,4,15,39,Yes,1,Inactive,High,High,High,0.8418423093432431,1,High Risk
178,2023-12-14,Basic,199,1.2,4,5,18,48,Yes,1,Inactive,Medium,High,Low,0.9077696946576842,1,High Risk
179,2023-05-26,Standard,399,4.9,2,4,1,42,Yes,1,Inactive,Low,High,Low,0.8822123753935219,1,High Risk
180,2023-12-16,Premium,699,2.7,8,1,2,24,Yes,1,At Risk,High,Medium,Low,0.8224022559744975,1,High Risk
181,2023-02-23,Basic,199,8.1,5,4,24,38,Yes,1,Inactive,Medium,High,Medium,0.7163219375120174,1,High Risk
182,2024-11-08,Basic,199,19.0,0,5,11,5,Yes,1,Active,Low,High,High,0.4034604747712228,0,Medium Risk
183,2023-04-27,Standard,399,15.4,6,2,32,13,No,0,Active,High,Medium,High,0.365879904767337,0,Medium Risk
184,2023-08-14,Standard,399,3.2,7,4,28,42,Yes,1,Inactive,High,High,Low,0.9264378524186165,1,High Risk
185,2023-09-19,Standard,399,0.7,4,1,4,49,Yes,1,Inactive,Medium,Medium,Low,0.7729030123880721,1,High Risk
186,2024-01-25,Standard,399,3.4,7,5,21,27,Yes,1,At Risk,High,High,Low,0.9279659194467608,1,High Risk
187,2023-02-13,Premium,699,12.8,5,0,15,25,No,0,At Risk,Medium,Low,Medium,0.3534879938354631,0,Medium Risk
188,2024-02-19,Standard,399,11.8,1,2,2,36,Yes,1,Inactive,Low,Medium,Medium,0.4862707505049644,0,Medium Risk
189,2024-09-24,Premium,699,7.6,6,0,27,20,Yes,1,At Risk,High,Low,Medium,0.3384083370785754,0,Medium Risk
190,2024-06-20,Standard,399,2.7,1,1,24,27,Yes,1,At Risk,Low,Medium,Low,0.6532329436941746,1,High Risk
191,2023-03-20,Basic,199,21.8,5,1,26,21,No,0,At Risk,Medium,Medium,High,0.46118255340994674,0,Medium Risk
192,2024-10-22,Premium,699,13.5,3,2,8,22,No,0,At Risk,Medium,Medium,Medium,0.44183276873397326,0,Medium Risk
193,2024-11-02,Basic,199,3.0,4,1,16,11,No,0,Active,Medium,Medium,Low,0.5908062316015126,1,Medium Risk
194,2024-08-16,Basic,199,23.8,7,3,12,48,Yes,1,Inactive,High,High,High,0.7958357573375683,1,High Risk
195,2024-03-28,Standard,399,21.7,5,1,21,28,Yes,1,At Risk,Medium,Medium,High,0.5188359815940465,1,Medium Risk
196,2024-04-17,Premium,699,20.0,0,2,20,32,Yes,1,Inactive,Low,Medium,High,0.41982092700638235,0,Medium Risk
197,2023-04-03,Standard,399,1.9,4,0,3,41,No,0,Inactive,Medium,Low,Low,0.660398254736632,1,High Risk
198,2024-08-08,Premium,699,9.9,8,5,33,57,Yes,1,Inactive,High,High,Medium,0.8842179086943929,1,High Risk
199,2024-04-06,Premium,699,8.4,7,4,13,9,No,0,Active,High,High,Medium,0.6055921833671437,1,High Risk
200,2023-09-11,Basic,199,24.6,1,4,22,41,Yes,1,Inactive,Low,High,High,0.6456549044952743,1,High Risk
201,2024-01-17,Premium,699,24.8,8,4,29,39,Yes,1,Inactive,High,High,High,0.8557595470113203,1,High Risk
202,2024-10-08,Standard,399,10.5,5,5,25,38,Yes,1,Inactive,Medium,High,Medium,0.7971519969873376,1,High Risk
203,2023-09-16,Premium,699,2.1,1,4,22,43,Yes,1,Inactive,Low,High,Low,0.8479018378738227,1,High Risk
204,2024-12-16,Premium,699,8.7,2,2,10,19,No,0,At Risk,Low,Medium,Medium,0.4370141540357103,0,Medium Risk
205,2023-12-03,Premium,699,3.7,1,2,26,35,Yes,1,Inactive,Low,Medium,Low,0.7369232842312385,1,High Risk
206,2023-11-13,Basic,199,2.8,6,4,34,23,Yes,1,At Risk,High,High,Low,0.8667375486344236,1,High Risk
207,2023-06-08,Basic,199,8.9,7,1,14,14,No,0,Active,High,Medium,Medium,0.3704085952504101,0,Medium Risk
208,2024-06-23,Basic,199,21.2,1,4,19,49,Yes,1,Inactive,Low,High,High,0.6747265668428668,1,High Risk
209,2023-07-05,Basic,199,22.0,2,4,22,24,Yes,1,At Risk,Low,High,High,0.6015785884109175,1,High Risk
210,2023-09-01,Premium,699,18.2,0,3,11,23,No,0,At Risk,Low,High,High,0.41311142414959334,0,Medium Risk
211,2024-04-25,Standard,399,18.9,7,1,19,34,Yes,1,Inactive,High,Medium,High,0.6174330044003803,1,High Risk
212,2024-01-27,Basic,199,17.1,7,3,24,49,Yes,1,Inactive,High,High,High,0.769296697742117,1,High Risk
213,2023-09-14,Premium,699,10.8,2,1,34,51,No,0,Inactive,Low,Medium,Medium,0.49029734934828445,0,Medium Risk
214,2023-05-08,Basic,199,21.9,8,0,31,45,No,0,Inactive,High,Low,High,0.5618533763579203,1,Medium Risk
215,2024-03-23,Standard,399,19.2,4,3,6,57,Yes,1,Inactive,Medium,High,High,0.7140569727837399,1,High Risk
216,2024-05-29,Basic,199,20.5,5,0,15,26,Yes,1,At Risk,Medium,Low,High,0.37618015661363047,0,Medium Risk
217,2023-04-12,Standard,399,10.0,1,2,16,14,Yes,1,Active,Low,Medium,Medium,0.259397416183994,0,Low Risk
218,2024-04-28,Premium,699,19.9,2,0,22,18,No,0,At Risk,Low,Low,High,0.2860738662830346,0,Low Risk
219,2023-03-23,Premium,699,19.1,7,3,9,39,Yes,1,Inactive,High,High,High,0.7430839459387016,1,High Risk
220,2024-06-24,Basic,199,5.8,2,4,17,60,No,0,Inactive,Low,High,Medium,0.7108654013599854,1,High Risk
