user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_target,login_recency_category,support_risk,payment_risk,usage_level
44,2024-07-20,Premium,699,23.5,2,2,7,7,No,0,Active,Low,Medium,High
45,2024-10-11,Basic,199,7.4,3,5,18,21,Yes,1,At Risk,Medium,High,Medium
46,2023-10-11,Standard,399,12.5,0,0,33,40,No,0,Inactive,Low,Low,Medium
47,2024-03-28,Basic,199,8.7,2,5,1,16,Yes,1,At Risk,Low,High,Medium
48,2023-06-02,Premium,699,14.2,1,0,28,60,No,0,Inactive,Low,Low,Medium
49,2023-11-12,Premium,699,20.9,8,1,3,27,Yes,1,At Risk,High,Medium,High
50,2023-12-29,Standard,399,22.5,3,5,3,15,No,0,At Risk,Medium,High,High
51,2023-07-01,Premium,699,24.4,2,1,27,55,Yes,1,Inactive,Low,Medium,High
52,2023-09-12,Standard,399,4.9,5,3,2,51,Yes,1,Inactive,Medium,High,Low
53,2024-04-26,Standard,399,19.8,1,3,11,55,Yes,1,Inactive,Low,High,High
54,2023-08-22,Basic,199,20.5,7,2,13,19,No,0,At Risk,High,Medium,High
55,2023-10-13,Basic,199,16.7,6,2,2,17,No,0,At Risk,High,Medium,High
56,2023-09-25,Standard,399,10.3,8,2,33,60,Yes,1,Inactive,High,Medium,Medium
57,2024-03-22,Basic,199,1.4,6,2,17,46,Yes,1,Inactive,High,Medium,Low
58,2023-01-02,Premium,699,3.3,3,2,33,2,No,0,Active,Medium,Medium,Low
59,2024-11-11,Premium,699,17.3,3,2,35,27,Yes,1,At Risk,Medium,Medium,High
60,2023-11-13,Standard,399,16.8,1,5,21,57,Yes,1,Inactive,Low,High,High
61,2024-11-11,Premium,699,8.5,4,4,27,8,Yes,1,Active,Medium,High,Medium
62,2023-11-08,Standard,399,15.6,4,3,12,35,No,0,Inactive,Medium,High,High
63,2023-08-07,Standard,399,11.0,5,3,14,28,Yes,1,At Risk,Medium,High,Medium
64,2024-11-10,Premium,699,19.9,2,5,31,5,Yes,1,Active,Low,High,High
65,2023-07-23,Premium,699,2.8,3,5,22,19,Yes,1,At Risk,Medium,High,Low
66,2024-04-11,Basic,199,1.6,7,4,2,54,Yes,1,Inactive,High,High,Low
67,2024-11-02,Standard,399,18.1,6,3,13,25,Yes,1,At Risk,High,High,High
68,2024-12-13,Premium,699,22.4,1,3,1,14,Yes,1,Active,Low,High,High
69,2024-04-20,Premium,699,1.7,3,0,30,29,Yes,1,At Risk,Medium,Low,Low
70,2024-05-31,Premium,699,24.7,5,3,34,39,No,0,Inactive,Medium,High,High
71,2023-09-23,Standard,399,11.4,2,5,36,55,Yes,1,Inactive,Low,High,Medium
72,2024-03-26,Basic,199,19.3,8,3,18,40,Yes,1,Inactive,High,High,High
73,2023-05-22,Basic,199,6.2,5,2,19,57,Yes,1,Inactive,Medium,Medium,Medium
74,2024-02-22,Basic,199,9.9,2,5,15,13,Yes,1,Active,Low,High,Medium
75,2024-08-21,Standard,399,11.9,0,1,35,53,No,0,Inactive,Low,Medium,Medium
76,2023-11-02,Premium,699,21.5,6,3,2,0,No,0,Active,High,High,High
77,2023-08-13,Standard,399,13.7,8,4,27,57,Yes,1,Inactive,High,High,Medium
78,2024-02-19,Standard,399,12.4,6,2,28,42,Yes,1,Inactive,High,Medium,Medium
79,2024-02-08,Premium,699,21.1,2,4,11,34,Yes,1,Inactive,Low,High,High
80,2023-02-21,Premium,699,2.6,6,1,2,55,Yes,1,Inactive,High,Medium,Low
81,2024-01-24,Standard,399,8.5,7,2,25,21,No,0,At Risk,High,Medium,Medium
82,2023-02-23,Standard,399,6.7,1,3,27,1,No,0,Active,Low,High,Medium
83,2023-01-21,Standard,399,16.4,0,0,15,60,Yes,1,Inactive,Low,Low,High
84,2023-08-12,Premium,699,6.3,7,5,10,7,No,0,Active,High,High,Medium
85,2023-04-28,Standard,399,19.3,2,4,17,38,No,0,Inactive,Low,High,High
86,2024-01-20,Basic,199,3.1,0,2,20,36,Yes,1,Inactive,Low,Medium,Low
87,2024-12-01,Standard,399,2.4,3,0,13,44,No,0,Inactive,Medium,Low,Low
88,2024-01-15,Premium,699,20.0,0,2,8,34,Yes,1,Inactive,Low,Medium,High
89,2024-03-19,Basic,199,16.4,0,3,33,52,Yes,1,Inactive,Low,High,High
90,2024-10-28,Standard,399,17.8,6,1,30,46,No,0,Inactive,High,Medium,High
91,2023-10-02,Standard,399,19.5,7,3,35,52,Yes,1,Inactive,High,High,High
92,2024-04-20,Standard,399,20.9,1,2,16,56,Yes,1,Inactive,Low,Medium,High
93,2023-12-30,Premium,699,8.7,7,2,25,11,Yes,1,Active,High,Medium,Medium
94,2023-07-15,Standard,399,7.4,4,4,22,0,No,0,Active,Medium,High,Medium
95,2024-05-02,Basic,199,18.1,7,4,16,48,Yes,1,Inactive,High,High,High
96,2024-12-09,Premium,699,11.5,0,0,32,18,No,0,At Risk,Low,Low,Medium
97,2024-03-11,Basic,199,16.8,5,3,20,35,Yes,1,Inactive,Medium,High,High
98,2023-05-04,Premium,699,8.6,7,2,36,19,Yes,1,At Risk,High,Medium,Medium
99,2024-05-10,Premium,699,8.2,8,5,13,11,Yes,1,Active,High,High,Medium
100,2023-07-03,Standard,399,15.1,1,1,34,18,No,0,At Risk,Low,Medium,High
101,2024-07-20,Standard,399,17.8,2,2,1,2,No,0,Active,Low,Medium,High
102,2023-10-19,Standard,399,16.1,7,0,9,55,Yes,1,Inactive,High,Low,High
103,2024-05-04,Standard,399,11.3,2,0,31,16,No,0,At Risk,Low,Low,Medium
104,2023-06-05,Basic,199,10.3,1,4,5,40,No,0,Inactive,Low,High,Medium
105,2024-09-12,Basic,199,2.6,3,0,20,35,No,0,Inactive,Medium,Low,Low
106,2024-08-25,Premium,699,19.5,6,3,15,58,Yes,1,Inactive,High,High,High
107,2023-08-01,Standard,399,14.4,0,4,20,47,Yes,1,Inactive,Low,High,Medium
108,2023-03-18,Premium,699,7.0,1,1,14,15,No,0,At Risk,Low,Medium,Medium
109,2024-12-24,Basic,199,10.5,7,2,1,2,Yes,1,Active,High,Medium,Medium
110,2024-08-26,Standard,399,2.2,3,2,30,50,Yes,1,Inactive,Medium,Medium,Low
111,2023-09-30,Premium,699,10.9,8,1,13,41,Yes,1,Inactive,High,Medium,Medium
112,2023-10-23,Basic,199,2.0,4,4,5,47,Yes,1,Inactive,Medium,High,Low
113,2024-05-27,Standard,399,12.0,4,5,8,25,No,0,At Risk,Medium,High,Medium
114,2023-09-14,Premium,699,11.2,0,3,32,47,Yes,1,Inactive,Low,High,Medium
115,2023-02-11,Basic,199,6.1,0,5,6,52,Yes,1,Inactive,Low,High,Medium
116,2024-03-22,Basic,199,13.2,7,2,31,11,No,0,Active,High,Medium,Medium
117,2024-11-17,Premium,699,24.2,7,2,32,26,Yes,1,At Risk,High,Medium,High
118,2024-07-17,Basic,199,8.6,7,2,11,42,No,0,Inactive,High,Medium,Medium
119,2024-02-18,Basic,199,2.7,4,2,30,7,No,0,Active,Medium,Medium,Low
120,2024-06-14,Premium,699,16.6,8,3,1,26,Yes,1,At Risk,High,High,High
121,2023-10-22,Standard,399,15.8,0,1,32,17,No,0,At Risk,Low,Medium,High
122,2023-01-15,Standard,399,3.5,3,5,32,10,Yes,1,Active,Medium,High,Low
123,2023-06-07,Premium,699,2.8,1,3,27,60,Yes,1,Inactive,Low,High,Low
124,2024-04-28,Standard,399,13.0,4,3,19,53,Yes,1,Inactive,Medium,High,Medium
125,2023-05-20,Basic,199,14.0,6,1,30,58,No,0,Inactive,High,Medium,Medium
126,2023-10-01,Basic,199,19.4,6,2,18,59,No,0,Inactive,High,Medium,High
127,2023-12-20,Basic,199,18.3,7,1,19,28,No,0,At Risk,High,Medium,High
128,2023-07-13,Standard,399,19.2,6,3,36,59,Yes,1,Inactive,High,High,High
129,2024-04-29,Premium,699,14.5,3,3,16,2,Yes,1,Active,Medium,High,Medium
130,2024-08-27,Premium,699,10.0,2,3,25,2,Yes,1,Active,Low,High,Medium
131,2023-01-16,Standard,399,21.9,7,0,7,33,No,0,Inactive,High,Low,High
132,2023-09-29,Premium,699,10.5,2,0,10,30,No,0,At Risk,Low,Low,Medium
133,2023-11-21,Standard,399,16.4,5,5,26,54,Yes,1,Inactive,Medium,High,High
134,2024-12-01,Premium,699,21.9,0,4,32,4,Yes,1,Active,Low,High,High
135,2023-04-13,Standard,399,18.8,6,0,15,48,No,0,Inactive,High,Low,High
136,2023-10-28,Standard,399,17.5,0,0,11,20,No,0,At Risk,Low,Low,High
137,2023-07-04,Standard,399,11.1,3,4,24,26,Yes,1,At Risk,Medium,High,Medium
138,2024-08-20,Basic,199,2.4,6,4,12,43,Yes,1,Inactive,High,High,Low
139,2024-04-21,Basic,199,11.8,4,3,15,16,No,0,At Risk,Medium,High,Medium
140,2024-03-10,Standard,399,4.4,7,2,35,37,Yes,1,Inactive,High,Medium,Low
141,2023-04-20,Premium,699,11.7,4,1,17,24,No,0,At Risk,Medium,Medium,Medium
142,2024-11-05,Basic,199,14.5,4,5,25,18,Yes,1,At Risk,Medium,High,Medium
143,2023-10-21,Standard,399,0.7,0,4,18,47,Yes,1,Inactive,Low,High,Low
144,2024-11-06,Basic,199,5.9,3,4,23,16,No,0,At Risk,Medium,High,Medium
145,2024-08-16,Premium,699,15.9,0,2,9,50,Yes,1,Inactive,Low,Medium,High
146,2023-07-25,Standard,399,2.7,4,2,9,47,Yes,1,Inactive,Medium,Medium,Low
147,2023-06-18,Basic,199,22.0,5,4,35,32,No,0,Inactive,Medium,High,High
148,2023-04-28,Standard,399,24.2,4,5,31,55,Yes,1,Inactive,Medium,High,High
149,2024-02-11,Standard,399,3.9,3,5,5,46,Yes,1,Inactive,Medium,High,Low
150,2024-04-10,Premium,699,2.7,6,0,24,16,No,0,At Risk,High,Low,Low
151,2023-01-26,Standard,399,14.8,5,0,17,43,Yes,1,Inactive,Medium,Low,Medium
152,2024-04-20,Premium,699,8.5,3,5,36,4,No,0,Active,Medium,High,Medium
153,2023-11-08,Premium,699,16.4,1,1,20,2,No,0,Active,Low,Medium,High
154,2024-11-17,Standard,399,2.9,8,1,8,24,Yes,1,At Risk,High,Medium,Low
155,2024-05-16,Premium,699,10.8,2,3,35,41,Yes,1,Inactive,Low,High,Medium
156,2024-03-30,Premium,699,23.5,4,0,27,44,Yes,1,Inactive,Medium,Low,High
157,2024-10-22,Standard,399,21.5,1,5,16,23,Yes,1,At Risk,Low,High,High
158,2024-04-10,Standard,399,10.3,3,0,4,60,No,0,Inactive,Medium,Low,Medium
159,2023-05-09,Basic,199,16.2,0,0,14,50,Yes,1,Inactive,Low,Low,High
160,2023-08-27,Premium,699,2.2,8,1,14,37,Yes,1,Inactive,High,Medium,Low
161,2023-05-14,Standard,399,19.8,0,2,10,54,No,0,Inactive,Low,Medium,High
162,2023-01-16,Premium,699,20.1,1,5,17,55,Yes,1,Inactive,Low,High,High
163,2024-03-07,Standard,399,14.9,0,1,16,16,Yes,1,At Risk,Low,Medium,Medium
164,2024-08-30,Premium,699,18.8,7,3,8,49,Yes,1,Inactive,High,High,High
165,2024-11-05,Basic,199,12.8,0,5,29,50,No,0,Inactive,Low,High,Medium
166,2024-03-12,Premium,699,11.7,0,0,20,30,No,0,At Risk,Low,Low,Medium
167,2024-09-14,Premium,699,12.5,7,0,7,57,Yes,1,Inactive,High,Low,Medium
168,2024-09-03,Basic,199,3.6,8,5,5,20,Yes,1,At Risk,High,High,Low
169,2024-11-01,Premium,699,11.6,6,0,19,50,No,0,Inactive,High,Low,Medium
170,2024-02-28,Premium,699,18.2,3,3,36,28,No,0,At Risk,Medium,High,High
171,2023-09-19,Standard,399,10.3,1,2,30,27,Yes,1,At Risk,Low,Medium,Medium
172,2023-04-06,Standard,399,17.3,7,0,10,5,No,0,Active,High,Low,High
173,2024-07-29,Standard,399,18.7,5,1,7,35,Yes,1,Inactive,Medium,Medium,High
174,2024-03-09,Premium,699,16.9,6,2,22,55,Yes,1,Inactive,High,Medium,High
175,2023-08-06,Premium,699,24.2,4,2,4,6,No,0,Active,Medium,Medium,High
176,2023-04-28,Basic,199,6.0,1,2,31,54,Yes,1,Inactive,Low,Medium,Medium
177,2024-07-24,Standard,399,20.3,8,4,15,39,Yes,1,Inactive,High,High,High
178,2023-12-14,Basic,199,1.2,4,5,18,48,Yes,1,Inactive,Medium,High,Low
179,2023-05-26,Standard,399,4.9,2,4,1,42,Yes,1,Inactive,Low,High,Low
180,2023-12-16,Premium,699,2.7,8,1,2,24,Yes,1,At Risk,High,Medium,Low
181,2023-02-23,Basic,199,8.1,5,4,24,38,Yes,1,Inactive,Medium,High,Medium
182,2024-11-08,Basic,199,19.0,0,5,11,5,Yes,1,Active,Low,High,High
183,2023-04-27,Standard,399,15.4,6,2,32,13,No,0,Active,High,Medium,High
184,2023-08-14,Standard,399,3.2,7,4,28,42,Yes,1,Inactive,High,High,Low
185,2023-09-19,Standard,399,0.7,4,1,4,49,Yes,1,Inactive,Medium,Medium,Low
186,2024-01-25,Standard,399,3.4,7,5,21,27,Yes,1,At Risk,High,High,Low
187,2023-02-13,Premium,699,12.8,5,0,15,25,No,0,At Risk,Medium,Low,Medium
188,2024-02-19,Standard,399,11.8,1,2,2,36,Yes,1,Inactive,Low,Medium,Medium
189,2024-09-24,Premium,699,7.6,6,0,27,20,Yes,1,At Risk,High,Low,Medium
190,2024-06-20,Standard,399,2.7,1,1,24,27,Yes,1,At Risk,Low,Medium,Low
191,2023-03-20,Basic,199,21.8,5,1,26,21,No,0,At Risk,Medium,Medium,High
192,2024-10-22,Premium,699,13.5,3,2,8,22,No,0,At Risk,Medium,Medium,Medium
193,2024-11-02,Basic,199,3.0,4,1,16,11,No,0,Active,Medium,Medium,Low
194,2024-08-16,Basic,199,23.8,7,3,12,48,Yes,1,Inactive,High,High,High
195,2024-03-28,Standard,399,21.7,5,1,21,28,Yes,1,At Risk,Medium,Medium,High
196,2024-04-17,Premium,699,20.0,0,2,20,32,Yes,1,Inactive,Low,Medium,High
197,2023-04-03,Standard,399,1.9,4,0,3,41,No,0,Inactive,Medium,Low,Low
198,2024-08-08,Premium,699,9.9,8,5,33,57,Yes,1,Inactive,High,High,Medium
199,2024-04-06,Premium,699,8.4,7,4,13,9,No,0,Active,High,High,Medium
200,2023-09-11,Basic,199,24.6,1,4,22,41,Yes,1,Inactive,Low,High,High
201,2024-01-17,Premium,699,24.8,8,4,29,39,Yes,1,Inactive,High,High,High
202,2024-10-08,Standard,399,10.5,5,5,25,38,Yes,1,Inactive,Medium,High,Medium
203,2023-09-16,Premium,699,2.1,1,4,22,43,Yes,1,Inactive,Low,High,Low
204,2024-12-16,Premium,699,8.7,2,2,10,19,No,0,At Risk,Low,Medium,Medium
205,2023-12-03,Premium,699,3.7,1,2,26,35,Yes,1,Inactive,Low,Medium,Low
206,2023-11-13,Basic,199,2.8,6,4,34,23,Yes,1,At Risk,High,High,Low
207,2023-06-08,Basic,199,8.9,7,1,14,14,No,0,Active,High,Medium,Medium
208,2024-06-23,Basic,199,21.2,1,4,19,49,Yes,1,Inactive,Low,High,High
209,2023-07-05,Basic,199,22.0,2,4,22,24,Yes,1,At Risk,Low,High,High
210,2023-09-01,Premium,699,18.2,0,3,11,23,No,0,At Risk,Low,High,High
211,2024-04-25,Standard,399,18.9,7,1,19,34,Yes,1,Inactive,High,Medium,High
212,2024-01-27,Basic,199,17.1,7,3,24,49,Yes,1,Inactive,High,High,High
213,2023-09-14,Premium,699,10.8,2,1,34,51,No,0,Inactive,Low,Medium,Medium
214,2023-05-08,Basic,199,21.9,8,0,31,45,No,0,Inactive,High,Low,High
215,2024-03-23,Standard,399,19.2,4,3,6,57,Yes,1,Inactive,Medium,High,High
216,2024-05-29,Basic,199,20.5,5,0,15,26,Yes,1,At Risk,Medium,Low,High
217,2023-04-12,Standard,399,10.0,1,2,16,14,Yes,1,Active,Low,Medium,Medium
218,2024-04-28,Premium,699,19.9,2,0,22,18,No,0,At Risk,Low,Low,High
219,2023-03-23,Premium,699,19.1,7,3,9,39,Yes,1,Inactive,High,High,High
220,2024-06-24,Basic,199,5.8,2,4,17,60,No,0,Inactive,Low,High,Medium
221,2024-03-05,Standard,399,19.5,3,2,8,7,Yes,1,Active,Medium,Medium,High
222,2024-06-11,Premium,699,2.0,7,4,30,34,Yes,1,Inactive,High,High,Low
223,2023-09-04,Premium,699,18.1,4,3,16,0,No,0,Active,Medium,High,High
224,2024-06-22,Premium,699,5.1,1,4,27,23,Yes,1,At Risk,Low,High,Medium
225,2024-04-26,Premium,699,19.8,8,4,33,1,Yes,1,Active,High,High,High
226,2023-03-11,Basic,199,24.5,4,5,25,1,Yes,1,Active,Medium,High,High
227,2023-05-17,Standard,399,18.5,1,4,16,47,No,0,Inactive,Low,High,High
228,2024-05-05,Basic,199,13.9,2,5,23,29,No,0,At Risk,Low,High,Medium
229,2023-02-07,Premium,699,20.4,1,5,12,49,No,0,Inactive,Low,High,High
230,2024-06-11,Standard,399,1.6,3,0,13,20,No,0,At Risk,Medium,Low,Low
231,2023-02-18,Standard,399,12.1,0,5,35,12,Yes,1,Active,Low,High,Medium
232,2024-03-26,Premium,699,7.2,5,3,22,56,Yes,1,Inactive,Medium,High,Medium
233,2024-06-15,Standard,399,24.4,7,5,22,31,Yes,1,Inactive,High,High,High
234,2023-07-04,Standard,399,18.3,1,3,6,38,No,0,Inactive,Low,High,High
235,2024-04-01,Premium,699,8.4,1,2,19,42,Yes,1,Inactive,Low,Medium,Medium
236,2023-12-28,Premium,699,4.6,7,2,28,28,Yes,1,At Risk,High,Medium,Low
237,2024-01-08,Premium,699,7.2,0,0,28,42,No,0,Inactive,Low,Low,Medium
238,2023-02-05,Premium,699,23.8,2,4,11,43,No,0,Inactive,Low,High,High
239,2023-02-03,Basic,199,6.3,5,2,5,24,No,0,At Risk,Medium,Medium,Medium
240,2024-08-10,Premium,699,17.1,5,2,10,28,No,0,At Risk,Medium,Medium,High
241,2023-04-27,Basic,199,9.5,5,5,34,17,Yes,1,At Risk,Medium,High,Medium
242,2023-09-24,Basic,199,12.7,6,4,12,7,Yes,1,Active,High,High,Medium
243,2023-07-24,Premium,699,5.8,4,5,29,58,No,0,Inactive,Medium,High,Medium
244,2023-03-31,Basic,199,21.4,7,1,9,57,No,0,Inactive,High,Medium,High
245,2023-11-04,Premium,699,16.9,1,4,21,34,Yes,1,Inactive,Low,High,High
246,2023-05-23,Basic,199,19.9,8,1,12,7,No,0,Active,High,Medium,High
247,2024-07-18,Basic,199,1.1,8,4,32,23,Yes,1,At Risk,High,High,Low
248,2024-02-25,Basic,199,2.1,6,5,6,46,Yes,1,Inactive,High,High,Low
249,2024-11-27,Standard,399,3.6,5,5,5,4,Yes,1,Active,Medium,High,Low
250,2023-05-13,Premium,699,3.6,8,5,23,37,Yes,1,Inactive,High,High,Low
251,2023-06-18,Standard,399,22.8,0,0,33,33,Yes,1,Inactive,Low,Low,High
252,2023-10-18,Basic,199,23.4,3,2,21,60,No,0,Inactive,Medium,Medium,High
253,2024-09-21,Basic,199,5.3,8,2,17,8,No,0,Active,High,Medium,Medium
254,2023-06-25,Premium,699,12.8,2,4,6,60,Yes,1,Inactive,Low,High,Medium
255,2024-10-18,Premium,699,21.1,0,0,22,5,Yes,1,Active,Low,Low,High
256,2024-10-04,Premium,699,16.5,6,4,17,40,Yes,1,Inactive,High,High,High
257,2024-12-02,Premium,699,16.2,4,3,19,15,No,0,At Risk,Medium,High,High
258,2024-04-20,Standard,399,11.6,0,1,20,28,No,0,At Risk,Low,Medium,Medium
259,2023-12-20,Basic,199,15.4,5,5,22,20,No,0,At Risk,Medium,High,High
260,2024-04-22,Standard,399,19.1,8,4,9,6,Yes,1,Active,High,High,High
261,2024-01-29,Basic,199,11.5,2,0,18,3,No,0,Active,Low,Low,Medium
262,2023-11-17,Premium,699,6.6,2,2,27,59,Yes,1,Inactive,Low,Medium,Medium
263,2024-05-24,Basic,199,12.7,8,3,11,31,No,0,Inactive,High,High,Medium
264,2023-12-28,Basic,199,23.7,8,3,6,15,Yes,1,At Risk,High,High,High
265,2023-04-21,Basic,199,7.4,7,2,4,34,Yes,1,Inactive,High,Medium,Medium
266,2023-02-22,Standard,399,22.1,5,3,9,23,Yes,1,At Risk,Medium,High,High
267,2024-04-06,Premium,699,5.3,8,2,36,4,Yes,1,Active,High,Medium,Medium
268,2023-12-14,Premium,699,20.7,1,1,18,6,No,0,Active,Low,Medium,High
269,2023-02-11,Premium,699,19.0,3,4,24,32,Yes,1,Inactive,Medium,High,High
270,2024-09-12,Basic,199,3.9,5,3,3,33,Yes,1,Inactive,Medium,High,Low
271,2023-11-03,Premium,699,8.5,5,1,9,25,No,0,At Risk,Medium,Medium,Medium
272,2023-11-03,Premium,699,12.9,8,4,22,31,Yes,1,Inactive,High,High,Medium
273,2024-12-05,Standard,399,9.5,1,3,2,37,Yes,1,Inactive,Low,High,Medium
274,2024-08-15,Premium,699,15.1,4,5,2,50,No,0,Inactive,Medium,High,High
275,2024-09-26,Premium,699,18.2,7,1,15,33,No,0,Inactive,High,Medium,High
276,2023-04-23,Standard,399,20.6,3,0,10,36,No,0,Inactive,Medium,Low,High
277,2024-02-25,Basic,199,11.3,6,1,2,26,No,0,At Risk,High,Medium,Medium
278,2024-07-28,Premium,699,21.9,0,5,31,8,No,0,Active,Low,High,High
279,2023-12-17,Standard,399,13.4,5,1,31,29,No,0,At Risk,Medium,Medium,Medium
280,2023-09-10,Premium,699,17.1,4,4,23,30,Yes,1,At Risk,Medium,High,High
281,2024-12-22,Standard,399,7.8,4,2,36,45,Yes,1,Inactive,Medium,Medium,Medium
282,2024-08-10,Standard,399,12.3,8,5,21,17,Yes,1,At Risk,High,High,Medium
283,2023-10-25,Premium,699,9.8,6,2,35,49,No,0,Inactive,High,Medium,Medium
284,2023-09-20,Basic,199,23.9,1,2,19,59,Yes,1,Inactive,Low,Medium,High
285,2023-10-06,Premium,699,5.7,8,2,31,59,Yes,1,Inactive,High,Medium,Medium
286,2024-06-27,Basic,199,15.6,3,1,7,3,No,0,Active,Medium,Medium,High
287,2024-11-28,Basic,199,1.8,6,2,15,45,Yes,1,Inactive,High,Medium,Low
288,2024-05-02,Basic,199,24.1,2,3,1,41,No,0,Inactive,Low,High,High
289,2023-04-02,Standard,399,19.0,4,2,13,18,No,0,At Risk,Medium,Medium,High
290,2023-06-30,Premium,699,13.6,0,1,15,26,No,0,At Risk,Low,Medium,Medium
291,2023-02-08,Basic,199,19.8,2,5,26,55,No,0,Inactive,Low,High,High
292,2024-10-18,Basic,199,14.4,1,2,20,18,No,0,At Risk,Low,Medium,Medium
293,2023-04-26,Premium,699,12.6,2,4,34,29,Yes,1,At Risk,Low,High,Medium
294,2023-12-12,Standard,399,18.4,4,5,11,11,Yes,1,Active,Medium,High,High
295,2024-02-15,Standard,399,4.8,6,3,13,32,Yes,1,Inactive,High,High,Low
296,2023-01-07,Premium,699,5.0,2,3,7,20,No,0,At Risk,Low,High,Low
297,2024-08-09,Standard,399,6.3,4,2,25,19,No,0,At Risk,Medium,Medium,Medium
298,2023-11-11,Basic,199,16.5,3,0,17,42,Yes,1,Inactive,Medium,Low,High
299,2023-10-30,Basic,199,17.3,4,5,26,7,No,0,Active,Medium,High,High
300,2024-09-12,Standard,399,5.9,2,3,15,9,No,0,Active,Low,High,Medium
301,2023-08-12,Standard,399,17.7,7,4,27,51,Yes,1,Inactive,High,High,High
302,2024-07-31,Basic,199,13.4,8,5,6,23,Yes,1,At Risk,High,High,Medium
303,2023-06-18,Basic,199,20.8,8,1,4,36,No,0,Inactive,High,Medium,High
